Variable 1,Variable 2,Correlation
age_residual_mean_mcar_baseline,age_adjusted_mean_mcar_baseline,0.9999844927541526
age_residual_mean_mcal_baseline,age_adjusted_mean_mcal_baseline,0.9999697494433091
co2_baseline,co2_base,0.9992500778165789
gait_walk_1_distance_m,gait_walk_1_speed_m_s,0.9898651652700426
siteo_mn_siteo_hr_mean,standeo_mn_mean_hr_standeo,0.9771421172787936
gait_walk_2_distance_m,gait_walk_2_speed_m_s,0.9738213185070632
mean_mcar_siteo,mean_mcar_standeo,0.9685418849131697
diast_mcar_baseline,mean_mcar_baseline,0.9665456500238175
gait_walk_1_distance_m,gait_walk_2_distance_m,0.9627583247999831
syst_mcar_baseline,mean_mcar_baseline,0.962611115268339
gait_walk_1_speed_m_s,gait_walk_2_distance_m,0.9598692869151739
mean_mcar_baseline,age_residual_mean_mcar_baseline,0.9560425863418173
mean_mcar_baseline,age_adjusted_mean_mcar_baseline,0.9548452112884523
gait_walk_1_speed_m_s,gait_walk_2_speed_m_s,0.9489647414309548
mean_bp_siteo,mean_bp_standeo,0.9387804711624971
gait_walk_1_distance_m,gait_walk_2_speed_m_s,0.9334767059594058
syst_mcar_baseline,age_residual_mean_mcar_baseline,0.9322839548635112
mean_mcal_siteo,mean_mcal_standeo,0.9314889695864907
syst_mcar_baseline,age_adjusted_mean_mcar_baseline,0.9310772428604214
co2_reactivity_baseline_2_hypo_mcal,co2_reactivity_baseline_2_hypo_mcar,0.9296782995910127
hrv_rmssd,hrv_pnn50,0.9180720208624022
diast_mcar_baseline,age_residual_mean_mcar_baseline,0.9170617464021915
diast_mcar_baseline,age_adjusted_mean_mcar_baseline,0.9159624040632643
mean_mcal_baseline,mean_mcal_tilt,0.915296600468717
mean_mcar_baseline,mean_mcar_tilt,0.9145331770215398
sbp_supine_rebreathing,mbp_supine_rebreathing,0.8950408168502503
dbp_baseline,dbp_hv,0.8945730784187613
co2_reactivity_baseline_2_hyper_mcal,co2_reactivity_baseline_2_hyper_mcar,0.8884732400566103
mean_mcal_baseline,age_residual_mean_mcal_baseline,0.8875431502267634
syst_mcar_baseline,mean_mcar_tilt,0.8873539728658839
mean_mcal_baseline,age_adjusted_mean_mcal_baseline,0.8866292296688305
baseline_mean_hr_bp_baseline,hypo_mn_hr_supine_rebreathing,0.8840561218005859
dbp_supine_rebreathing,mbp_supine_rebreathing,0.8769761137382183
diast_mcar_baseline,mean_mcar_tilt,0.8723122430375545
syst_mcar_baseline,diast_mcar_baseline,0.8661271180496456
dbp_tilt,mbp_tilt,0.8603426036511912
syst_mcar_baseline,mean_mcar_supine_rebreathing,0.8573214976928305
mean_mcal_baseline,mean_mcal_siteo,0.8554975898668881
mean_mcar_tilt,age_residual_mean_mcar_baseline,0.8552907608166468
mean_mcar_tilt,age_adjusted_mean_mcar_baseline,0.8536695972083179
dbp_baseline,mbp,0.8488669484561133
24hour_daytime_dbp,24hour_nighttime_dbp,0.8446555142765158
dbp_hv,mbp_hv,0.8373363170590539
mean_mcar_baseline,mean_mcar_supine_rebreathing,0.8266311356852876
mbp,mbp_hv,0.8206886557136067
mean_mcal_baseline,mean_mcal_hv,0.8181967530987052
mean_mcar_supine_rebreathing,age_residual_mean_mcar_baseline,0.8181154284584964
mean_mcar_supine_rebreathing,age_adjusted_mean_mcar_baseline,0.8169779412498372
mean_mcal_baseline,mean_mcal_supine_rebreathing,0.8157450242596112
tilt_mn_hr_tilt,hypo_mn_hr_supine_rebreathing,0.8102757211574417
sbp_baseline,sbp_hv,0.807484692149339
sbp_tilt,mbp_tilt,0.8074138195820006
24hour_daytime_sbp,24hour_nighttime_sbp,0.8043341913630845
mean_mcar_baseline,mean_mcar_hv,0.8039067193519684
sbp_hv,mbp_hv,0.799364813110348
co2_reactivity_mcar,co2_reactivity_baseline_2_hyper_mcar,0.7980602196780898
diast_mcar_baseline,mean_mcar_hv,0.7969363169778473
hrv_rmssd,hrv_hf,0.7963377800663067
hrv_sdnn,hrv_rmssd,0.7945827233042967
mean_mcal_supine_rebreathing,age_residual_mean_mcal_baseline,0.7903601018143658
mean_mcal_supine_rebreathing,age_adjusted_mean_mcal_baseline,0.7890425163512734
dbp_hv,dbp_supine_rebreathing,0.7829049856679784
sbp_baseline,sbp_tilt,0.7811970800738354
baseline_mean_hr_bp_baseline,tilt_mn_hr_tilt,0.7767424612038318
hrv_sdnn,hrv_sdann,0.7762824343968733
mean_mcal_hv,mean_mcal_siteo,0.7705829250714971
mean_mcal_baseline,mean_mcal_standeo,0.7704223020816718
mean_mcar_tilt,mean_mcar_hv,0.7683780154093446
hrv_avnn,hrv_sdnn,0.7671773161450696
mean_mcal_tilt,age_residual_mean_mcal_baseline,0.7638885060070825
mean_mcal_tilt,age_adjusted_mean_mcal_baseline,0.7626476917430588
sbp_baseline,mbp,0.7617905855909244
mean_mcar_tilt,mean_mcar_supine_rebreathing,0.7616740904376026
mean_mcal_tilt,mean_mcal_hv,0.7605203308743658
mean_mcal_tilt,mean_mcal_siteo,0.7604692614772562
mean_mcal_tilt,mean_mcal_supine_rebreathing,0.7599394351392943
mean_mcar_supine_rebreathing,co2_reactivity_mcar,0.759750484666009
co2_reactivity_mcar,co2_reactivity_baseline_2_hyper_mcal,0.7592738686282321
mbp,mbp_tilt,0.7592498632902667
syst_mcar_baseline,co2_reactivity_mcar,0.7587437113654687
mean_mcar_hv,age_residual_mean_mcar_baseline,0.7531896641455975
mbp,dbp_hv,0.7528823023949985
mean_mcar_hv,age_adjusted_mean_mcar_baseline,0.752443771423795
sbp_hv,sbp_supine_rebreathing,0.7509841247166087
syst_mcar_baseline,mean_mcar_hv,0.7476896930095163
hrv_sdann,hrv_lf,0.7432116283813645
diast_mcar_baseline,mean_mcar_supine_rebreathing,0.742204566663581
co2_supine_rebreathing,co2_hypo_pct,0.7396217747510923
age_adjusted_mean_mcar_baseline,age_adjusted_mean_mcal_baseline,0.7317691042985784
age_residual_mean_mcal_baseline,age_adjusted_mean_mcar_baseline,0.7317117414979695
age_residual_mean_mcar_baseline,age_adjusted_mean_mcal_baseline,0.7309130918372957
age_residual_mean_mcar_baseline,age_residual_mean_mcal_baseline,0.7308779066251531
sbp_tilt,sbp_hv,0.7260250762007069
mean_mcal_siteo,age_residual_mean_mcal_baseline,0.72346846695969
mean_mcal_siteo,age_adjusted_mean_mcal_baseline,0.7217943539378802
age_residual_mean_mcar_baseline,co2_reactivity_mcar,0.718586854292773
age_adjusted_mean_mcar_baseline,co2_reactivity_mcar,0.718246282136403
sbp_tilt,24hour_daytime_sbp,0.7121744885933031
mean_mcar_baseline,co2_reactivity_mcar,0.709791014002582
hrv_sdnn,hrv_pnn50,0.708832609263019
mbp_hv,mbp_supine_rebreathing,0.7062234357707993
dbp_baseline,dbp_tilt,0.704342402663174
dbp_tilt,dbp_hv,0.691125563961653
mbp_tilt,mbp_hv,0.6901957910173455
mean_mcar_supine_rebreathing,mean_mcal_supine_rebreathing,0.68869687658685
mbp_tilt,mean_bp_siteo,0.6864839440469417
mean_mcal_hv,mean_mcal_standeo,0.6855234947229035
mean_mcar_hv,mean_mcar_supine_rebreathing,0.6828016513998967
dbp_tilt,dbp_supine_rebreathing,0.6824737912137022
syst_mcar_baseline,mean_mcar_siteo,0.6821946316957083
hrv_avnn,hrv_rmssd,0.6816907179365256
mean_mcar_baseline,mean_mcar_siteo,0.6808824981750992
mean_mcal_hv,mean_mcal_supine_rebreathing,0.6803981614599338
dbp_baseline,dbp_supine_rebreathing,0.6788225253017248
dbp_baseline,mbp_hv,0.6785165218277984
syst_mcar_baseline,mean_mcal_baseline,0.6756405091026348
mean_mcar_tilt,mean_mcar_siteo,0.6754694318179837
o2_base,o2_hyper_pct,-0.6716497458867803
mbp_hv,dbp_supine_rebreathing,0.6695072580001074
mean_mcal_hv,age_residual_mean_mcal_baseline,0.6679608357939361
mean_mcal_hv,age_adjusted_mean_mcal_baseline,0.6660142142139845
mean_mcar_baseline,mean_mcal_baseline,0.6651642449016992
24hour_nighttime_sbp,24hour_nighttime_dbp,0.6651169941603597
mean_mcal_baseline,co2_reactivity_baseline_2_hyper_mcal,0.6640335653866539
syst_mcar_baseline,mean_mcar_standeo,0.6594386389984954
mean_mcal_supine_rebreathing,mean_mcal_siteo,0.6584960321776775
age_adjusted_mean_mcal_baseline,co2_reactivity_baseline_2_hyper_mcal,0.655926010811723
mean_mcar_baseline,mean_mcar_standeo,0.6559029862211587
mean_mcal_standeo,age_residual_mean_mcal_baseline,0.654754644196619
age_residual_mean_mcal_baseline,co2_reactivity_baseline_2_hyper_mcal,0.6546832969242099
hrv_sdnn,hrv_hf,0.653958270977391
sbp_baseline,24hour_daytime_sbp,0.6536103954730208
mean_mcal_standeo,age_adjusted_mean_mcal_baseline,0.653315154063282
mean_mcal_baseline,age_residual_mean_mcar_baseline,0.6508996643083405
mean_mcal_baseline,age_adjusted_mean_mcar_baseline,0.6500672016176229
sbp_baseline,sbp_supine_rebreathing,0.6474645997283962
sbp_baseline,24hour_nighttime_sbp,0.6452260018593267
co2_hv,co2_hyper_pct,0.6445956078778664
mean_mcar_siteo,age_residual_mean_mcar_baseline,0.641603906574951
mean_mcar_baseline,co2_reactivity_baseline_2_hyper_mcal,0.6410017906576969
age_residual_mean_mcar_baseline,co2_reactivity_baseline_2_hyper_mcal,0.6408694939721099
mean_mcar_siteo,age_adjusted_mean_mcar_baseline,0.6405007495697685
age_adjusted_mean_mcar_baseline,co2_reactivity_baseline_2_hyper_mcal,0.6401473567898162
hrv_pnn50,hrv_hf,0.638092342091463
syst_mcar_baseline,age_residual_mean_mcal_baseline,0.6353489506028204
syst_mcar_baseline,co2_reactivity_baseline_2_hyper_mcar,0.6348785013988466
syst_mcar_baseline,age_adjusted_mean_mcal_baseline,0.6348331986383556
sbp_baseline,mbp_hv,0.6332999300615941
diast_mcar_baseline,mean_mcar_siteo,0.630363453908941
mbp,dbp_tilt,0.6300219181658827
mean_mcar_hv,mean_mcar_siteo,0.629830951355043
mbp,sbp_tilt,0.6244505115680553
mbp_tilt,mean_bp_standeo,0.6241961753608656
mean_mcar_baseline,age_residual_mean_mcal_baseline,0.6228391883882075
mean_mcar_baseline,co2_reactivity_baseline_2_hyper_mcar,0.6224798006183295
mean_mcar_baseline,age_adjusted_mean_mcal_baseline,0.6224182532673378
syst_mcar_baseline,co2_reactivity_baseline_2_hyper_mcal,0.6221994177518055
mean_mcal_tilt,mean_mcal_standeo,0.6209209494301748
mean_mcar_standeo,age_residual_mean_mcar_baseline,0.6201639450745917
sbp_baseline,mbp_tilt,0.6198258773265197
mean_mcar_standeo,age_adjusted_mean_mcar_baseline,0.6193331713440069
sbp_tilt,24hour_nighttime_sbp,0.6190389041791703
sbp_hv,mbp_supine_rebreathing,0.6174309630415334
diast_mcar_baseline,co2_reactivity_baseline_2_hyper_mcal,0.6169913802082314
mean_mcar_tilt,co2_reactivity_mcar,0.6160690877395318
diast_mcar_baseline,co2_reactivity_mcar,0.6158396584206415
age_residual_mean_mcar_baseline,co2_reactivity_baseline_2_hyper_mcar,0.6154756543416584
age_adjusted_mean_mcar_baseline,co2_reactivity_baseline_2_hyper_mcar,0.6149458209393655
syst_mcar_baseline,mean_mcal_tilt,0.6134554524100367
dbp_baseline,mbp_tilt,0.6130605562480539
sbp_hv,24hour_daytime_sbp,0.611101735634012
mean_mcar_tilt,mean_mcar_standeo,0.6083352531345839
diast_mcar_baseline,mean_mcal_baseline,0.6050423563360362
diast_mcar_baseline,mean_mcar_standeo,0.6042645450583807
syst_mcar_baseline,mean_mcal_supine_rebreathing,0.6041682493257023
sbp_supine_rebreathing,dbp_supine_rebreathing,0.6000158750819244
mbp,mean_bp_siteo,0.5997059844828266
sbp_tilt,mean_bp_siteo,0.5969494775502262
hrv_lf,hrv_hf,0.5968309024349807
24hour_daytime_sbp,24hour_daytime_dbp,0.5962520223665322
sbp_tilt,mean_bp_standeo,0.5955187923984704
mean_mcar_hv,mean_mcar_standeo,0.5953513349501708
mbp_tilt,dbp_hv,0.5947360323792278
mbp,dbp_supine_rebreathing,0.5925851734196336
mean_mcal_supine_rebreathing,co2_reactivity_mcar,0.5921953339271844
mean_mcal_tilt,co2_reactivity_baseline_2_hyper_mcal,0.591059654823559
mbp_hv,sbp_supine_rebreathing,0.5872498390449784
mbp,sbp_hv,0.5863933082618906
mean_mcar_baseline,mean_mcal_tilt,0.5859563776534964
sbp_tilt,mbp_hv,0.5825179347550264
co2_supine_rebreathing,o2_hypo_pct,-0.581403198762674
dbp_hv,mbp_supine_rebreathing,0.581026032943211
co2_tilt,co2_base,0.5779706742441819
age_adjusted_mean_mcal_baseline,co2_reactivity_mcar,0.5775075208801164
mean_mcal_supine_rebreathing,mean_mcal_standeo,0.5766687718471876
age_residual_mean_mcal_baseline,co2_reactivity_mcar,0.5765043285427173
24hour_daytime_sbp,24hour_nighttime_dbp,0.5763223263783538
mbp_hv,mean_bp_siteo,0.5759319415402411
diast_mcar_baseline,age_residual_mean_mcal_baseline,0.5746595816566497
diast_mcar_baseline,age_adjusted_mean_mcal_baseline,0.574391166879821
htn_yrs_patient_medical_history,hrv_avnn,0.5733541854792416
co2_baseline,co2_tilt,0.5724360217644218
dbp_tilt,mbp_hv,0.5698473903722974
mean_mcal_supine_rebreathing,age_residual_mean_mcar_baseline,0.5695442076608065
mean_mcal_supine_rebreathing,age_adjusted_mean_mcar_baseline,0.5687480192008725
diast_mcar_baseline,co2_reactivity_baseline_2_hyper_mcar,0.568584058732578
mbp_tilt,dbp_supine_rebreathing,0.5637353078728831
o2_base,o2_tilt_pct,-0.5634197137620545
mbp,mbp_supine_rebreathing,0.5609777136892516
tilt_mn_hr_tilt,hyper_mn_hr_hyperventilation,0.5598530380863993
mean_mcal_baseline,mean_mcar_standeo,0.5578556615545756
co2_baseline,co2_hyper_pct,-0.5577779589312184
mean_mcar_baseline,mean_mcal_siteo,0.5568636791901146
mean_mcal_baseline,mean_mcar_tilt,0.5565673253269396
mean_mcal_siteo,mean_mcar_standeo,0.5560712098937894
co2_base,co2_hyper_pct,-0.5559952309954478
mbp,24hour_nighttime_dbp,0.5552483994660047
mean_mcar_tilt,mean_mcal_tilt,0.5547763458633437
mbp_tilt,mbp_supine_rebreathing,0.5531302801201482
mean_mcar_baseline,mean_mcal_supine_rebreathing,0.5524674863848109
mean_mcal_tilt,age_residual_mean_mcar_baseline,0.5510151920086818
mean_mcal_tilt,age_adjusted_mean_mcar_baseline,0.5499421860760485
mean_mcal_baseline,co2_reactivity_mcar,0.5471058028476313
mean_mcar_supine_rebreathing,mean_mcar_siteo,0.5469154808986538
age_adjusted_mean_mcal_baseline,co2_reactivity_baseline_2_hyper_mcar,0.5463744598119803
24hour_nighttime_sbp,24hour_mbpdippct,-0.5462662170473943
baseline_mean_hr_bp_baseline,hyper_mn_hr_hyperventilation,0.5451979741626607
age_residual_mean_mcal_baseline,co2_reactivity_baseline_2_hyper_mcar,0.5447795287761762
syst_mcar_baseline,mean_mcal_siteo,0.5437468865219132
mean_mcal_baseline,co2_reactivity_baseline_2_hyper_mcar,0.543160334350369
mbp_hv,mean_bp_standeo,0.542443998590701
dbp_tilt,mean_bp_siteo,0.5419674962820996
mbp_tilt,delta_mean_bp_tilt_baseline,0.5416338694716465
mbp,24hour_daytime_dbp,0.5392136698842268
sbp_tilt,sbp_supine_rebreathing,0.537707244664865
sbp_baseline,24hour_nighttime_dbp,0.5352223495398937
mean_mcar_tilt,co2_reactivity_baseline_2_hyper_mcar,0.5343366869969498
hrv_sdnn,hrv_lf,0.5342958823384205
mbp_tilt,sbp_hv,0.5330055005489621
mean_mcal_tilt,mean_mcar_standeo,0.5324404201071077
mean_mcar_tilt,co2_reactivity_baseline_2_hyper_mcal,0.5252101240765019
sbp_baseline,mbp_supine_rebreathing,0.5245872519878363
hrv_avnn,hrv_pnn50,0.5244028779900304
mbp,mean_bp_standeo,0.524129116546916
mean_mcar_supine_rebreathing,age_residual_mean_mcal_baseline,0.5230261316979077
diast_mcar_baseline,mean_mcal_siteo,0.5224572878789122
mean_mcar_supine_rebreathing,age_adjusted_mean_mcal_baseline,0.5221362277217568
sbp_tilt,24hour_nighttime_dbp,0.5213085254938461
mean_mcar_baseline,mean_mcal_standeo,0.5149032962269424
hyper_mn_hr_hyperventilation,hypo_mn_hr_supine_rebreathing,0.5129235357360936
hrv_sdann,hrv_pnn50,0.5123584141514077
syst_mcar_baseline,mean_mcal_standeo,0.5110575068312654
mbp,24hour_nighttime_sbp,0.5103973166181868
dbp_tilt,mbp_supine_rebreathing,0.5094663620483196
sbp_hv,24hour_nighttime_sbp,0.5093013908820827
mean_mcar_siteo,mean_mcal_siteo,0.5068793643922119
diast_mcar_baseline,mean_mcal_tilt,0.5059248853602181
mean_mcal_tilt,co2_reactivity_mcar,0.5058169217325159
mean_mcal_baseline,mean_mcar_supine_rebreathing,0.5051445601162305
mean_mcal_siteo,age_residual_mean_mcar_baseline,0.5050550962153919
mean_mcal_siteo,age_adjusted_mean_mcar_baseline,0.503982722203145
sbp_baseline,24hour_daytime_dbp,0.5025761027818367
mean_mcar_standeo,co2_reactivity_baseline_2_hyper_mcal,0.5018362965737441
hrv_sdann,hrv_rmssd,0.5015181248297252
mean_mcal_tilt,co2_reactivity_baseline_2_hyper_mcar,0.5009510654230549
